Seleccionado,seller-sku,item-name,ASIN,notas
true,A01_EU01_109140,"Cecotec Frigorífico Combi No Frost de 405L Bolero CoolMarket Combi 405 MC Elite Black Glass D. 200 cm de Alto, 59,5 cm de Ancho, Clase D, MetalFlex Cooling, Fresh Flex, Interior en Elite Grey, Negro",B0GLQST8JQ,17/03 sin IMG en PIM
true,A01_EU01_110308,"Cecotec Campana Extractora Decorativa 60 cm Bolero Flux DT 607500 Matt Black A+++. Cristal Mate y Brillante con Detalles en Cobre, Succión 717,2 m³/h, Función Booster, Filtros de Aluminio, Clase A+++",B0GLQX3YGC,
true,A01_EU01_116609,"Cecotec Pack de 5 Bolsas para Base de Autovaciado Conga Y50 / Y70. Consumibles, Accesorios, Bolsas para Compatibles con Base de Robots Aspiradores Conga, Incluye 5 Unidades",B0GKHPH5RM,
true,A01_EU01_119742,"Cecotec Lavavajillas Integrable de 45 cm Bolero Aguazero 4270 Full-BI. 11 Cubiertos, 6 Programas, Clase D, Motor Inverter Plus Duo, Panel Touch, FloorView Light, Super Dry, Half Load, Save+, AutoClean",B0GJSCBVGF,05/02 No hay imágenes
true,A01_EU01_119743,"Cecotec Lavavajillas Integrable de 45 cm Bolero Aguazero 4570 Full-BI Connected. 11 Cubiertos, 7 Programas, Clase C, Inverter Plus Duo, Panel Touch, WiFi, Smart Wash, O2Dry, Super Dry, FloorView Light",B0GJS71V8N,05/02 No hay imágenes
true,A01_EU01_122028,"Cecotec Pack 10 Bolsas Aspirador Trineo Conga Powerbag 2000 Compact Plus. Alta Filtración y Resistencia, Fácil Instalación para Garantizar la Máxima Calidad y Alargar la Vida Útil del Producto",B0GLXT9HTZ,
true,A01_EU01_122363,"Cecotec Placa de Inducción 4 Fuegos Bolero Squad I 4700 TitanicZone ShieldGlass. 7400W Potencia Total, Touch Slider Control, 9 Niveles, TitanicZone, Zona Flex, Booster, Temporizador Individualizado",B0GTN64Q6W,falta medidas caja - no inspecting info Karina 21/1
true,A90_EU01_008380,"Cecotec Aspiradora de Mano - Motor Digital Conga Rockstar Micro Essential. 90W, Poder de Succión 13kPa, Autonomía 40mins, 2 Modos de Potencia, Accesorio 2en1, Accesorio Tapicerías y Base de Autocarga",B0GNMZKC4X,
true,112,"Cecotec Cafetera Italiana Piccolina 400 Red, Capacidad 200 ml para 4 tazas, Diseño elegante en Acero, Filtro de Acero Inoxidable, Apta para todas las superficies, Válvula de seguridad, Cierre silicona",B0BQ1KDL4W,REF. INCORRECTA - 00119 es la CORRECTA
true,3989,"Cecotec Batidora de Vaso Individual Power Titanium Fresh&Go. 650W, Cuchilla 4 hojas con Recubrimiento de Titanio Negro, Incluye 2 Tubos Refrigeradores y 2 Vasos Resistentes de 600ml",B0BPZWQS46,RW 03988
true,7149,"Cecotec Bicicleta Estática Indoor con Volante de Inercia de 10Kg DrumFit Indoor Teseo. Resistencia Manual, Monitor LCD, Transmisión por Correa, Soporte de Dispositivos, Botella y Portabotellas",B0BQ1CSXGL,Exclusivo ELVACRIS
true,A01_EU01_100627,"Cecotec Bicicleta Eléctrica de Montaña TR AtlasPro Medium. Autonomía 120km, Motor Bafang M510 95Nm, Batería LG 500Wh Integrada, Full Suspension, Rockshox Lyrik 160mm, Frenos Shimano MT410",B0GJZZ2X5T,*SOLO VENTA TIENDA ESPECIALIZADA - Josep Ferriol informa 09/02/2026
true,A01_EU01_109108,"Cecotec Frigorífico Combi No Frost de 405L Bolero CoolMarket Combi 405 MC Inox D. 200 cm de Alto, 59,5 cm de Ancho, Clase D, MetalFlex Cooling, Freshness Flex, Ultra Silencioso, Sistema ADF+, Inox",B0GLQZ186K,17/03 sin IMG en PIM
true,A01_EU01_118181,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 80x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNYVJJD1,
true,A01_EU01_118182,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 90x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZ9BPR5,
true,A01_EU01_118183,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 105x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZJP934,
true,A01_EU01_118185,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 120x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZB7TW1,
true,A01_EU01_118186,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 135x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZ6WM3S,
true,A01_EU01_118187,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 140x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZLD8YL,
true,A01_EU01_118188,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 150x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZM12JZ,
true,A01_EU01_118189,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 160x190 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZSGS83,
